n,time,flops
100000000,0.0010800838470458984,81983267685.1371
200000000,0.0013671636581420899,129900691485.78247
300000000,0.0017363786697387694,152668684044.37817
400000000,0.0021942138671875,163647505797.35825
500000000,0.0024641990661621095,180789213108.92505
600000000,0.0029020309448242188,185239804002.80276
700000000,0.0032730340957641602,189338552414.05872
800000000,0.0035773515701293945,197947601469.9013
900000000,0.003973460197448731,202690541160.60135
1000000000,0.004279017448425293,208580170327.63635
