n,time,flops
4000,0.004735493659973144,27725945656065.996
6000,0.007163834571838379,59777037296111.14
8000,0.011884498596191406,84828081445624.08
10000,0.018635487556457518,107177826939110.45
12000,0.02786433696746826,123876218829853.19
14000,0.04155144691467285,131998404250165.62
16000,0.05747065544128418,142310250515694.72
18000,0.08017306327819824,145142499475743.44
20000,0.11156933307647705,143701786397700.25
22000,0.14710867404937744,144630787802640.66
24000,0.18770198822021483,147497314131216.22
