n,time,flops
4000,0.010429620742797852,11384897912233.17
6000,0.028627848625183104,14990385702164.562
8000,0.06532721519470215,15664013570108.469
10000,0.10567491054534912,18623261079315.527
12000,0.18131229877471924,18879226848701.867
14000,0.2817166090011597,19356935871738.715
16000,0.42285163402557374,19268946361644.477
18000,0.5873212099075318,19730296488132.348
20000,0.8163988351821899,19541457908599.645
22000,1.0667525053024292,19891483680130.117
24000,1.423004937171936,19379169701575.137
