n,time,flops
4000,0.029204297065734863,3969662300949.1675
6000,0.034984898567199704,11797747213167.438
8000,0.05036149024963379,20292828374944.28
10000,0.0731309175491333,26723476705660.414
12000,0.09703547954559326,34822526245505.78
14000,0.13642940521240235,39918721601232.35
16000,0.19066939353942872,42933833508125.98
18000,0.256563663482666,45492057131961.9
20000,0.3432057619094849,46526027732612.65
22000,0.44430174827575686,47955143366253.59
24000,0.5665542602539062,48771590596631.09
26000,0.7258544921875,48438527128440.695
28000,0.8818421363830566,49740620974534.69
30000,1.0891835689544678,49552849949672.1
32000,1.2905962705612182,50766686238083.31
34000,1.5629389524459838,50297014467323.08
36000,1.844625973701477,50580340975548.56
