n,time,flops
4000,0.017266678810119628,6721712465544.866
6000,0.030956792831420898,13387682745783.459
8000,0.05359439849853516,19087279293983.098
10000,0.07680485248565674,25369949302173.9
12000,0.1201587200164795,28232162316315.594
14000,0.17829205989837646,30774981040170.383
16000,0.2588492393493652,31568178743816.74
18000,0.3547943353652954,32663083611571.992
20000,0.4729973077774048,33749839254736.777
22000,0.6125040769577026,34621232211086.46
24000,0.7955061912536621,34674671901874.027
26000,0.9980245351791381,35079885863813.137
28000,1.2411523342132569,35390951801329.97
30000,1.5039172887802124,35732383867838.49
32000,1.8367170810699462,35597185587646.89
34000,2.1347725868225096,36713671448498.52
36000,2.508278179168701,37087658487553.36
