n,time,flops
4000,0.009269809722900391,12409185180912.012
6000,0.023908829689025878,17937033812746.477
8000,0.049352622032165526,20733627208153.984
10000,0.0807563066482544,24474267445428.11
12000,0.13610031604766845,25232994442894.926
14000,0.21300246715545654,25770078691675.31
16000,0.3135254144668579,26109958692074.383
18000,0.4511545181274414,25856620873065.16
20000,0.6143821954727173,26031578923092.992
22000,0.8119570255279541,26239530994534.875
24000,1.0449259996414184,26486199761643.777
