n,time,flops
4000,0.02651546001434326,4476878369525.176
6000,0.04500274658203125,9436724654711.242
8000,0.07562081813812256,13291116747402.76
10000,0.10656263828277587,18381662365694.227
12000,0.16192715167999266,20886865175429.812
14000,0.24954845905303955,21786418115461.043
16000,0.3592806577682495,22599229343212.215
18000,0.48727731704711913,23761704869130.035
20000,0.6646974325180054,24014086887899.527
22000,0.8496798038482666,24967402520621.492
24000,1.0955213069915772,25222433436543.08
26000,1.4286656379699707,23031503157638.65
28000,1.7657605171203614,24857714200775.957
30000,2.181197452545166,24758138594048.96
32000,2.5931147813796995,23990545429702.46
34000,3.12318274974823,25178651194744.086
36000,3.6907673835754395,24061724723025.35
