n,time,flops
4000,0.15874240398406983,753971880053.9225
6000,0.16755299568176268,2576140153394.4766
8000,0.16148486137390136,6340133666602.072
10000,0.16940898895263673,11777250546715.33
12000,0.1652050256729126,20922012670904.61
14000,0.1738762617111206,31565270012402.082
16000,0.17128872871398926,47817352173915.06
18000,0.19006791114807128,61386690823241.39
20000,0.19884026050567627,80496709299349.02
22000,0.21335170269012452,99812665677266.03
24000,0.21667563915252686,127076930562578.03
26000,0.22933614253997803,152698197576363.6
28000,0.24261410236358644,180899331241302.2
30000,0.25969321727752687,207051899392546.97
32000,0.2733521223068237,239713445604851.94
34000,0.311269211769104,251088333521650.22
36000,0.35107812881469724,265006084278783.6
38000,0.3490056037902832,312372918062220.7
40000,0.37424368858337403,341641006741539.8
42000,0.43069255352020264,342642145525269.75
44000,0.4678829193115234,362496013659170.56
46000,0.4969857454299927,391251904385142.9
48000,0.5152453422546387,428181243312075.6
50000,0.5982910871505738,416210050490157.94
