n,time,flops
1024,0.0005392313003540039,3915345337444.5938
2048,0.003047680854797363,5629766262508.508
4096,0.02133769989013672,6441341793669.257
8192,0.14759547710418702,7383715254523.502
16384,1.2482329845428466,7049859552755.916
