n,time,flops
4000,0.016463541984558107,7181131746293.075
6000,0.04268538951873779,10069697421104.479
8000,0.08599915504455566,11636598944903.502
10000,0.1605663776397705,12405875760221.25
12000,0.26411004066467286,13016047590766.193
14000,0.4280629873275757,12818467775645.363
16000,0.6303903341293335,12978641782535.387
18000,0.8990931987762452,12976091264948.799
20000,1.2274277687072754,12567723347379.64
22000,1.6025265216827393,13296114035719.2
24000,2.0818243980407716,13299319265687.227
