n,time,flops
100000000,0.0012539863586425782,71725630574.67195
200000000,0.0019879817962646486,96158032251.70921
300000000,0.002686023712158203,105111472289.72034
400000000,0.003525519371032715,109127536245.15155
500000000,0.004216194152832031,112708241933.64424
600000000,0.004874682426452637,116748328654.48048
700000000,0.005761551856994629,117104388314.10558
800000000,0.006381893157958984,120181409869.3539
900000000,0.007091903686523437,118747872941.66536
1000000000,0.007918190956115723,121120605414.5112
1100000000,0.00864109992980957,117851531571.86954
1200000000,0.009327554702758789,119628743788.14897
1300000000,0.010156369209289551,123135696338.81653
1400000000,0.0109161376953125,122018743344.73978
1500000000,0.0116041898727417,124099933410.09532
1600000000,0.012362957000732422,124153392551.09018
1700000000,0.012883687019348144,124325696250.63588
1800000000,0.01367645263671875,126343017889.16505
1900000000,0.014438986778259277,126017135418.28795
