n,time,flops
4000,0.15404970645904542,765243312026.4272
6000,0.15488722324371337,2769495674812.7036
8000,0.16460883617401123,6064205053363.0
10000,0.17489957809448242,11179937607633.111
12000,0.18718197345733642,18084712023226.344
14000,0.208677339553833,26190341541636.76
16000,0.23577399253845216,34758148356417.88
18000,0.26719279289245607,43551062494677.516
20000,0.3127192258834839,50940032227309.945
22000,0.3630354404449463,58545229091716.95
24000,0.4250767469406128,64696452783096.78
26000,0.507219672203064,70088586587195.59
28000,0.586004638671875,74736495618875.73
30000,0.6852709293365479,78564518695457.62
32000,0.7935555934906006,82477179282255.0
34000,0.9302183389663696,84325518026350.81
36000,1.0380358934402465,89662287167423.97
38000,1.1983646869659423,91385201375097.75
40000,1.3692413806915282,93320604440470.62
42000,1.554901385307312,95147105011736.64
44000,1.7166550397872924,99033500167702.08
46000,1.9351599216461182,100505637441024.88
48000,2.1559468507766724,102488420639157.17
50000,2.435006022453308,102475844730074.92
